"","prob","source","cut"
"1",0.953795379537954,"obs",1
"2",0.95049504950495,"obs",2
"3",0.940594059405941,"obs",3
"4",0.904290429042904,"obs",4
"5",0.891089108910891,"obs",5
"6",0.867986798679868,"obs",6
"7",0.861386138613861,"obs",7
"8",0.778877887788779,"obs",8
"9",0.729372937293729,"obs",9
"10",0.706270627062706,"obs",10
"11",0.62046204620462,"obs",11
"12",0.567656765676568,"obs",12
"13",0.425742574257426,"obs",13
"14",0.33993399339934,"obs",14
"15",0.306930693069307,"obs",15
"16",0.191419141914191,"obs",16
"17",0.138613861386139,"obs",17
"18",0.0297029702970297,"obs",18
"19",0.0066006600660066,"obs",19
"20",0,"obs",20
"21",0.9995,"rando",1
"22",0.9982,"rando",2
"23",0.9935,"rando",3
"24",0.9827,"rando",4
"25",0.96,"rando",5
"26",0.9171,"rando",6
"27",0.8499,"rando",7
"28",0.7532,"rando",8
"29",0.6289,"rando",9
"30",0.4871,"rando",10
"31",0.3424,"rando",11
"32",0.215,"rando",12
"33",0.1146,"rando",13
"34",0.0562,"rando",14
"35",0.0231,"rando",15
"36",0.0079,"rando",16
"37",0.0021,"rando",17
"38",6e-04,"rando",18
"39",3e-04,"rando",19
"40",0,"rando",20
"41",0.999860019597256,"pseudo",1
"42",0.98972143899854,"pseudo",2
"43",0.974673545703602,"pseudo",3
"44",0.915311856340112,"pseudo",4
"45",0.891015257863899,"pseudo",5
"46",0.856700061991321,"pseudo",6
"47",0.80394744735737,"pseudo",7
"48",0.762693222948787,"pseudo",8
"49",0.645969564261003,"pseudo",9
"50",0.558221848941148,"pseudo",10
"51",0.402013718079469,"pseudo",11
"52",0.273121762953187,"pseudo",12
"53",0.159297698322235,"pseudo",13
"54",0.0731597576339312,"pseudo",14
"55",0.0330553722478853,"pseudo",15
"56",0.00845881576579279,"pseudo",16
"57",0.00255964165016898,"pseudo",17
"58",0.000249965004899314,"pseudo",18
"59",3.99944007838903e-05,"pseudo",19
"60",0,"pseudo",20
