"","numresponse","avg","std","category"
"1",0,0,0,"observed"
"2",1,0.5,0.888523316638639,"observed"
"3",2,1.26315789473684,1.08264467296937,"observed"
"4",3,1.77647058823529,1.41737912551095,"observed"
"5",4,2.02127659574468,1.91192479383887,"observed"
"6",5,2.64285714285714,1.9666532149123,"observed"
"7",6,2.66666666666667,1.96946385566932,"observed"
"8",7,2.2,2.28035085019828,"observed"
"9",8,3,2.58198889747161,"observed"
"10",9,1,NA,"observed"
"11",11,-7,NA,"observed"
"12",0,0,0,"pseudo"
"13",1,-0.3152,0.949072723190057,"pseudo"
"14",2,-0.5728,1.36795003151755,"pseudo"
"15",3,-0.8774,1.59900748043661,"pseudo"
"16",4,-1.215,1.78451490589038,"pseudo"
"17",5,-1.6348,1.91070511576327,"pseudo"
"18",6,-1.7816,2.02581140069433,"pseudo"
"19",7,-2.1008,2.13239163133955,"pseudo"
"20",8,-2.4314,2.1665556619537,"pseudo"
"21",9,-2.7064,2.19122778092986,"pseudo"
"22",11,-3.2872,2.21296314487794,"pseudo"
"23",0,0,0,"random"
"24",1,-0.178294573643411,0.985889650600462,"random"
"25",2,-0.59546925566343,1.32791109521188,"random"
"26",3,-0.92237561865069,1.54731423031879,"random"
"27",4,-1.17737728242827,1.74642470188548,"random"
"28",5,-1.51105615362235,1.9005100804372,"random"
"29",6,-1.78704595681986,1.99540045037801,"random"
"30",7,-2.10467899891186,2.09791594159734,"random"
"31",8,-2.38635477582846,2.13877395995587,"random"
"32",9,-2.75235938089845,2.21740064003791,"random"
"33",10,-2.96555150712156,2.19652453029139,"random"
"34",11,-3.30959752321981,2.15642274618299,"random"
