"","ok","kn"
"1",7,2
"2",15,2
"3",17,4
"4",15,2
"5",12,3
"6",14,1
"7",12,-1
"8",16,3
"9",13,0
"10",12,-1
"11",15,2
"12",16,3
"13",7,2
"14",14,1
"19",10,1
"22",10,1
"26",17,4
"27",10,-1
"28",11,2
"29",11,1
"30",15,2
"31",15,2
"33",11,1
"34",16,3
"35",10,1
"36",15,2
"37",12,3
"38",11,-2
"39",13,0
"40",13,0
"41",16,3
"42",17,4
"43",13,0
"45",17,4
"50",13,3
"51",17,4
"52",8,2
"53",7,0
"54",15,2
"55",12,3
"56",5,-2
"57",11,0
"58",11,2
"60",17,4
"61",17,4
"62",7,0
"63",13,0
"64",0,0
"66",12,3
"67",12,3
"68",7,2
"69",8,2
"70",15,2
"71",5,0
"72",13,0
"73",10,1
"74",7,1
"75",7,0
"76",17,4
"77",12,3
"78",1,-3
"79",14,1
"80",17,4
"81",3,1
"82",13,4
"83",8,2
"84",11,1
"85",15,2
"86",10,1
"87",13,4
"88",17,4
"89",12,3
"90",3,1
"91",13,4
"92",3,1
"93",15,2
"94",18,5
"95",13,0
"97",0,0
"98",5,1
"99",15,2
"100",17,4
"101",15,2
"102",3,1
"103",15,2
"104",13,4
"105",17,4
"106",12,3
"107",3,1
"108",15,2
"109",13,2
"110",12,3
"111",4,1
"112",18,5
"113",6,1
"114",8,-1
"115",18,5
"116",4,1
"117",7,2
"118",12,3
"119",10,1
"120",7,0
"121",16,3
"122",10,3
"123",10,-1
"124",7,2
"125",17,4
"127",12,3
"128",17,4
"129",7,0
"130",15,2
"131",18,5
"132",12,3
"133",12,3
"134",19,6
"135",18,5
"136",17,4
"137",10,1
"138",13,4
"139",12,3
"141",11,1
"142",0,0
"143",7,0
"145",15,2
"146",0,0
"147",17,4
"148",15,2
"149",12,3
"150",9,2
"151",12,3
"152",7,2
"153",9,2
"154",10,1
"155",17,4
"156",10,0
"157",4,1
"158",15,2
"159",12,3
"160",14,1
"161",13,3
"162",0,0
"163",15,2
"164",0,0
"165",12,3
"166",0,0
"167",3,-1
"168",10,1
"169",10,1
"170",17,4
"171",0,0
"172",16,3
"173",11,-2
"174",7,2
"175",2,-2
"176",17,4
"177",8,2
"178",17,4
"180",16,3
"183",15,2
"184",17,4
"185",14,1
"187",10,-1
"188",12,3
"189",13,4
"190",12,3
"191",12,3
"192",13,0
"193",14,4
"194",8,0
"195",15,2
"196",15,2
"197",7,0
"198",12,3
"199",7,2
"200",11,1
"201",7,2
"202",15,2
"203",12,3
"204",15,2
"205",12,3
"206",12,3
"207",4,1
"208",13,0
"209",12,3
"210",17,4
"211",12,1
"212",8,2
"213",17,4
"214",8,2
"215",7,0
"218",12,3
"219",15,2
"220",9,2
"221",7,0
"222",13,0
"223",3,-1
"224",18,5
"225",10,1
"226",5,1
"227",13,0
"229",17,4
"230",16,3
"231",5,1
"232",16,3
"233",11,2
"234",16,3
"235",10,1
"236",15,2
"240",12,3
"242",5,0
"245",18,5
"247",16,3
"248",15,2
"249",0,0
"250",7,0
"251",12,3
"252",12,3
"253",16,3
"254",19,6
"255",7,0
"257",11,-2
"258",17,4
"259",13,0
"260",14,3
"261",3,-1
"262",17,4
"263",17,4
"264",15,2
"265",16,3
"266",16,3
"267",15,2
"268",14,1
"269",0,0
"270",13,0
"271",12,3
"272",9,2
"273",6,0
"274",17,4
"275",12,3
"276",17,4
"277",15,2
"278",10,1
"279",8,-1
"280",11,-2
"281",17,4
"282",15,2
"283",12,3
"284",8,2
"285",11,-2
"286",8,-1
"287",3,0
"288",9,2
"289",12,3
"290",12,3
"291",0,0
"292",15,2
"293",17,4
"294",7,2
"295",3,-1
"296",12,3
"297",10,1
"298",13,0
"299",11,1
"300",2,-1
"301",8,-1
"302",10,1
"303",0,0
"304",5,1
"305",9,-1
"306",10,1
"307",17,4
"308",10,-1
"309",7,2
"310",12,3
"311",14,1
"312",14,1
"313",15,2
"314",0,0
"315",13,0
"316",13,0
"318",0,0
"319",12,3
"320",11,1
"321",10,-1
"322",12,3
"323",3,1
"324",7,2
"325",8,2
"326",12,3
"328",10,1
"329",10,1
"330",7,0
"331",15,2
"332",16,3
"333",16,3
"334",8,-1
"335",8,-1
"336",13,3
"337",15,2
"338",10,1
"339",17,4
