year,district,demcount,grncount,lbtcount,gopcount,othcount,totcount,delta.prod,prod,delta.pror,pror
2019.5,1,"27,919",226,"1,203","77,322","46,427","153,097",0.005,18.236,0.161,50.505
2019.5,2,"44,970",180,645,"26,206","35,891","107,892",-0.013,41.681,0.030,24.289
2019.5,3,"48,784",398,710,"16,246","30,247","96,385",-0.026,50.614,-0.033,16.855
2019.5,4,"38,606",144,623,"22,648","35,466","97,487",-0.032,39.601,0.117,23.232
2019.5,5,"22,272",149,744,"62,550","45,810","131,525",-0.056,16.934,0.256,47.557
2019.5,6,"39,365",377,"1,186","51,707","43,415","136,050",-0.114,28.934,0.110,38.006
2019.5,7,"66,001",163,603,"26,980","34,863","128,610",-0.239,51.319,0.146,20.978
2019.5,8,"32,466",139,721,"34,349","37,070","104,745",-0.167,30.995,0.181,32.793
2019.5,9,"50,964",364,"1,047","38,245","38,189","128,809",0.090,39.566,-0.087,29.691
2019.5,10,"48,040",329,"1,094","39,492","37,615","126,570",0.022,37.955,-0.141,31.202
2019.5,11,"39,949",202,"1,128","56,839","48,133","146,251",0.117,27.315,-0.082,38.864
2019.5,12,"35,643",185,"1,722","76,789","53,024","167,363",0.048,21.297,0.015,45.882
2019.5,13,"32,697",135,"1,088","56,611","46,270","136,801",0.002,23.901,0.034,41.382
2019.5,14,"32,543",168,"1,012","52,690","39,734","126,147",-0.155,25.798,0.069,41.769
2019.5,15,"35,031",197,"1,443","61,481","48,208","146,360",0.080,23.935,-0.100,42.007
2019.5,16,"30,721",206,"1,300","59,938","51,108","143,273",0.029,21.442,0.125,41.835
2019.5,17,"41,479",195,"1,350","54,879","50,524","148,427",0.160,27.946,-0.103,36.974
2019.5,18,"48,317",272,"1,562","49,750","48,102","148,003",0.132,32.646,-0.185,33.614
2019.5,19,"40,575",122,702,"15,212","35,449","92,060",-0.019,44.075,0.066,16.524
2019.5,20,"37,464",246,"1,374","44,350","45,009","128,443",0.092,29.168,-0.152,34.529
2019.5,21,"36,922",185,982,"49,599","45,261","132,949",0.105,27.772,-0.046,37.307
2019.5,22,"35,525",161,"1,065","75,981","50,591","163,323",0.054,21.751,0.084,46.522
2019.5,23,"38,647",155,"1,297","76,418","54,932","171,449",0.114,22.541,-0.008,44.572
2019.5,24,"48,802",331,"1,351","23,943","38,921","113,348",0.018,43.055,-0.013,21.123
2019.5,25,"31,702",196,"1,409","61,764","45,347","140,418",0.080,22.577,-0.040,43.986
2019.5,26,"37,790",316,"1,288","22,326","39,392","101,112",0.060,37.374,-0.120,22.080
2019.5,27,"49,438",171,765,"13,746","34,870","98,990",-0.063,49.942,0.073,13.886
2019.5,28,"42,532",233,"1,398","50,118","43,239","137,520",0.142,30.928,-0.199,36.444
2019.5,29,"36,068",104,734,"14,940","32,563","84,409",-0.070,42.730,0.014,17.700
2019.5,30,"34,380",171,712,"16,290","31,670","83,223",-0.013,41.311,-0.090,19.574
2019.25,1,"27,680",221,"1,184","76,434","46,305","151,824",0.008,18.232,0.222,50.344
2019.25,2,"44,473",175,649,"25,876","35,494","106,667",-0.032,41.693,0.149,24.259
2019.25,3,"48,555",409,705,"16,193","30,022","95,884",0.176,50.639,0.043,16.888
2019.25,4,"38,331",147,628,"22,355","35,253","96,714",-0.102,39.633,0.177,23.115
2019.25,5,"21,872",144,732,"60,894","45,093","128,735",-0.070,16.990,0.342,47.302
2019.25,6,"39,151",379,"1,181","51,076","42,992","134,779",-0.127,29.048,0.228,37.896
2019.25,7,"65,763",161,601,"26,572","34,456","127,553",-0.123,51.557,0.070,20.832
2019.25,8,"32,067",140,729,"33,559","36,408","102,903",-0.071,31.162,0.054,32.612
2019.25,9,"50,463",372,"1,067","38,067","37,864","127,833",0.142,39.476,0.007,29.779
2019.25,10,"47,814",332,"1,095","39,506","37,300","126,047",0.072,37.933,-0.027,31.342
2019.25,11,"39,174",205,"1,112","56,095","47,447","144,033",0.024,27.198,-0.061,38.946
2019.25,12,"34,899",193,"1,705","75,330","52,109","164,236",0.126,21.249,0.021,45.867
2019.25,13,"32,052",135,"1,073","55,453","45,401","134,114",0.012,23.899,0.136,41.348
2019.25,14,"32,297",168,995,"51,894","39,094","124,448",-0.104,25.952,0.033,41.699
2019.25,15,"34,740",202,"1,427","61,319","47,941","145,629",0.095,23.855,0.071,42.106
2019.25,16,"30,110",208,"1,271","58,650","50,377","140,616",0.024,21.413,0.181,41.709
2019.25,17,"40,639",189,"1,346","54,228","49,857","146,259",0.111,27.786,-0.010,37.077
2019.25,18,"47,656",276,"1,569","49,540","47,529","146,570",0.158,32.514,-0.100,33.800
2019.25,19,"40,013",117,699,"14,935","34,981","90,745",0.100,44.094,0.030,16.458
2019.25,20,"37,045",245,"1,366","44,187","44,566","127,409",0.058,29.076,0.046,34.681
2019.25,21,"36,321",184,969,"49,037","44,770","131,281",0.058,27.667,-0.017,37.353
2019.25,22,"34,902",159,"1,060","74,698","50,037","160,856",-0.003,21.698,0.113,46.438
2019.25,23,"37,999",162,"1,286","75,532","54,451","169,430",0.026,22.428,0.049,44.580
2019.25,24,"48,231",331,"1,366","23,687","38,454","112,069",0.084,43.037,-0.024,21.136
2019.25,25,"31,202",201,"1,385","61,061","44,844","138,693",0.047,22.497,0.069,44.026
2019.25,26,"36,987",318,"1,271","22,006","38,541","99,123",0.024,37.314,-0.013,22.201
2019.25,27,"48,765",167,760,"13,471","34,356","97,519",0.077,50.006,0.043,13.814
2019.25,28,"42,122",234,"1,383","50,136","42,949","136,824",0.152,30.786,-0.046,36.643
2019.25,29,"35,529",104,727,"14,681","31,971","83,012",0.069,42.800,-0.045,17.685
2019.25,30,"33,973",172,715,"16,166","31,185","82,211",0.024,41.324,-0.033,19.664
2019,1,"27,873",229,"1,218","76,662","46,969","152,951",-0.052,18.223,0.113,50.122
2019,2,"44,325",179,661,"25,612","35,453","106,230",-0.041,41.726,0.039,24.110
2019,3,"48,570",422,713,"16,213","30,330","96,248",-0.118,50.463,0.014,16.845
2019,4,"38,402",147,643,"22,168","35,285","96,645",-0.066,39.735,0.130,22.938
2019,5,"21,848",148,730,"60,140","45,200","128,066",-0.178,17.060,0.127,46.960
2019,6,"39,680",392,"1,189","51,231","43,514","136,006",0.086,29.175,0.062,37.668
2019,7,"66,049",157,617,"26,534","34,446","127,803",-0.021,51.680,0.126,20.762
2019,8,"32,222",143,745,"33,589","36,466","103,165",-0.149,31.233,0.219,32.559
2019,9,"50,403",381,"1,075","38,150","38,132","128,141",-0.002,39.334,-0.076,29.772
2019,10,"47,723",344,"1,094","39,540","37,345","126,046",-0.046,37.862,-0.041,31.370
2019,11,"39,128",208,"1,115","56,167","47,375","143,993",-0.028,27.174,-0.036,39.007
2019,12,"34,598",195,"1,711","75,092","52,197","163,793",0.012,21.123,0.022,45.846
2019,13,"31,773",137,"1,056","54,818","45,232","133,016",0.082,23.887,0.118,41.212
2019,14,"32,164",171,990,"51,433","38,683","123,441",-0.046,26.056,0.147,41.666
2019,15,"34,747",201,"1,439","61,473","48,383","146,243",-0.010,23.760,-0.007,42.035
2019,16,"30,131",213,"1,283","58,503","50,744","140,874",-0.040,21.389,0.266,41.529
2019,17,"40,630",200,"1,358","54,449","50,177","146,814",0.067,27.674,0.039,37.087
2019,18,"47,604",283,"1,590","49,875","47,772","147,124",0.189,32.356,-0.278,33.900
2019,19,"39,930",122,708,"14,911","35,091","90,762",0.071,43.994,0.018,16.429
2019,20,"37,283",247,"1,375","44,501","45,077","128,483",0.053,29.018,-0.045,34.636
2019,21,"36,381",186,980,"49,244","44,985","131,776",0.034,27.608,-0.033,37.369
2019,22,"34,811",162,"1,065","74,312","50,066","160,416",-0.109,21.700,0.096,46.325
2019,23,"38,131",167,"1,294","75,799","54,826","170,217",0.007,22.401,0.046,44.531
2019,24,"48,489",341,"1,372","23,887","38,800","112,889",0.004,42.953,-0.115,21.160
2019,25,"31,395",214,"1,405","61,471","45,360","139,845",0.047,22.450,-0.024,43.957
2019,26,"37,100",330,"1,284","22,100","38,676","99,490",0.269,37.290,-0.191,22.213
2019,27,"48,809",176,767,"13,462","34,543","97,757",0.011,49.929,0.051,13.771
2019,28,"42,274",237,"1,424","50,629","43,434","137,998",0.032,30.634,-0.093,36.688
2019,29,"35,555",109,736,"14,753","32,054","83,207",0.346,42.731,-0.026,17.730
2019,30,"34,188",169,737,"16,305","31,380","82,779",0.180,41.300,-0.069,19.697
2018.75,1,27194,226,1177,74416,45791,148804,0.159,18.275,0.232,50.009
2018.75,2,43948,177,647,25328,35124,105224,-0.141,41.766,-0.019,24.071
2018.75,3,48258,416,706,16058,29968,95406,-0.204,50.582,-0.102,16.831
2018.75,4,37576,146,625,21533,34530,94410,0.198,39.801,-0.043,22.808
2018.75,5,21657,149,715,58837,44274,125632,-0.076,17.238,1.178,46.833
2018.75,6,38702,377,1167,50034,42768,133048,0.731,29.089,-0.750,37.606
2018.75,7,64791,153,595,25861,33919,125319,0.082,51.701,0.266,20.636
2018.75,8,31661,134,722,32626,35744,100887,-0.199,31.383,0.375,32.339
2018.75,9,49953,376,1053,37904,37706,126992,0.303,39.336,-0.594,29.848
2018.75,10,47191,343,1064,39103,36790,124491,0.180,37.907,-0.458,31.410
2018.75,11,38480,203,1088,55230,46459,141460,0.201,27.202,-0.029,39.043
2018.75,12,33745,188,1635,73249,51031,159848,0.449,21.111,-0.051,45.824
2018.75,13,30649,130,1021,52909,44043,128752,0.269,23.805,-0.058,41.094
2018.75,14,31979,168,988,50868,38513,122516,-0.064,26.102,0.063,41.519
2018.75,15,34123,201,1421,60353,47458,143556,0.403,23.770,-0.037,42.041
2018.75,16,29534,202,1229,56870,49988,137823,0.223,21.429,0.302,41.263
2018.75,17,39810,193,1327,53424,49448,144202,0.420,27.607,-0.154,37.048
2018.75,18,46441,275,1546,49344,46768,144374,0.438,32.167,-0.239,34.178
2018.75,19,39007,116,700,14574,34410,88807,0.452,43.923,-0.063,16.411
2018.75,20,36749,239,1343,44001,44544,126876,0.323,28.965,-0.132,34.680
2018.75,21,35769,180,949,48519,44303,129720,0.268,27.574,0.059,37.403
2018.75,22,34298,157,1041,72700,49067,157263,0.174,21.809,0.081,46.228
2018.75,23,37578,165,1266,74647,54147,167803,0.463,22.394,0.066,44.485
2018.75,24,47149,335,1319,23355,37622,109780,0.650,42.949,-0.387,21.274
2018.75,25,30929,213,1392,60720,44806,138060,0.330,22.403,-0.051,43.981
2018.75,26,35694,317,1245,21601,37557,96414,0.591,37.022,-0.434,22.404
2018.75,27,47464,170,725,13046,33680,95085,0.464,49.917,-0.036,13.720
2018.75,28,41523,239,1395,49908,42624,135689,0.485,30.602,-0.302,36.781
2018.75,29,34884,108,741,14614,31957,82304,0.512,42.384,-0.089,17.756
2018.75,30,33700,161,733,16199,31162,81955,0.542,41.120,-0.106,19.766
2018.5,1,26244,230,1175,72112,45107,144868,0.110,18.116,0.676,49.778
2018.5,2,42291,197,623,24310,33496,100917,0.315,41.907,0.079,24.089
2018.5,3,45136,407,681,15049,27602,88875,-0.053,50.786,-0.108,16.933
2018.5,4,36381,146,620,20992,33725,91864,-0.103,39.603,0.019,22.851
2018.5,5,22142,151,745,58384,46458,127880,-0.126,17.315,0.997,45.655
2018.5,6,35151,350,1095,47544,39816,123956,0.317,28.358,0.667,38.356
2018.5,7,63192,143,604,24937,33545,122421,-0.059,51.619,0.303,20.370
2018.5,8,30540,123,680,30910,34449,96702,0.200,31.582,0.607,31.964
